Series Code,Series Name,Indicator Reference Number,Reference Area Code (M49),Reference Area Type [for UNSD use only],Reference Area Name,Time Period,Observation Value,Unit of Measurement,Nature of Data,Disaggregation classification,Time Detail,Reporting Type,Footnotes,Source Detail
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,108,3.0-Country,Burundi,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,132,3.0-Country,Cabo Verde,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,116,3.0-Country,Cambodia,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,120,3.0-Country,Cameroon,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,124,3.0-Country,Canada,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,136,3.0-Country,Cayman Islands,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,140,3.0-Country,Central African Republic,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,148,3.0-Country,Chad,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,830,3.0-Country,Channel Islands,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,152,3.0-Country,Chile,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,156,3.0-Country,China,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,344,3.0-Country,"China, Hong Kong Special Administrative Region",2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,446,3.0-Country,"China, Macao Special Administrative Region",2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,162,3.0-Country,Christmas Island,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,166,3.0-Country,Cocos (Keeling) Islands,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,170,3.0-Country,Colombia,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,174,3.0-Country,Comoros,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,178,3.0-Country,Congo,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,184,3.0-Country,Cook Islands,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,188,3.0-Country,Costa Rica,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,384,3.0-Country,Côte d'Ivoire,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,191,3.0-Country,Croatia,2019,24.86,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,192,3.0-Country,Cuba,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,531,3.0-Country,Curaçao,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,196,3.0-Country,Cyprus,2019,100,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,203,3.0-Country,Czechia,2019,12.52,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,408,3.0-Country,Democratic People's Republic of Korea,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,180,3.0-Country,Democratic Republic of the Congo,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,208,3.0-Country,Denmark,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,262,3.0-Country,Djibouti,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,212,3.0-Country,Dominica,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,214,3.0-Country,Dominican Republic,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,218,3.0-Country,Ecuador,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,818,3.0-Country,Egypt,2019,79.59,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,222,3.0-Country,El Salvador,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,226,3.0-Country,Equatorial Guinea,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,232,3.0-Country,Eritrea,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,233,3.0-Country,Estonia,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,231,3.0-Country,Ethiopia,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,238,3.0-Country,Falkland Islands (Malvinas),2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,234,3.0-Country,Faroe Islands,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,242,3.0-Country,Fiji,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,246,3.0-Country,Finland,2019,2.07,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,250,3.0-Country,France,2019,12.52,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,254,3.0-Country,French Guiana,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,258,3.0-Country,French Polynesia,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,260,3.0-Country,French Southern and Antarctic Territories,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,266,3.0-Country,Gabon,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,270,3.0-Country,Gambia,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,268,3.0-Country,Georgia,2019,12.52,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,276,3.0-Country,Germany,2019,6.8,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,288,3.0-Country,Ghana,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,292,3.0-Country,Gibraltar,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,300,3.0-Country,Greece,2019,43.41,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,304,3.0-Country,Greenland,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,308,3.0-Country,Grenada,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,312,3.0-Country,Guadeloupe,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,316,3.0-Country,Guam,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,320,3.0-Country,Guatemala,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,831,3.0-Country,Guernsey,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,324,3.0-Country,Guinea,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,624,3.0-Country,Guinea-Bissau,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,328,3.0-Country,Guyana,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,332,3.0-Country,Haiti,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,334,3.0-Country,Heard Island and McDonald Islands,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,336,3.0-Country,Holy See,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,340,3.0-Country,Honduras,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,348,3.0-Country,Hungary,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,352,3.0-Country,Iceland,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,356,3.0-Country,India,2019,60.61,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,360,3.0-Country,Indonesia,2019,39.85,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,364,3.0-Country,Iran (Islamic Republic of),2019,39.08,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,368,3.0-Country,Iraq,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,372,3.0-Country,Ireland,2019,14.96,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,833,3.0-Country,Isle of Man,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,376,3.0-Country,Israel,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,380,3.0-Country,Italy,2019,38.75,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,388,3.0-Country,Jamaica,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,392,3.0-Country,Japan,2019,36.42,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,832,3.0-Country,Jersey,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,400,3.0-Country,Jordan,2019,72.39,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,398,3.0-Country,Kazakhstan,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,3.d.2,404,3.0-Country,Kenya,2019,,Percentage,CA,Not applicable,Q1 2019 - Q4 2019,G,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,AMR Surveillance National Coordinating Center 
