"username";"region_code";"country_code";"Identifiant";"year";"ncc_established";"ncc_established_name";"ncc_established_address";"focal_point";"fp_name";"fp_surname";"existing_plans";"web_link";"nrl_designated";"nrl_designated_name";"nrl_designated_address";"eqa_scheme";"ast_standards";"ast_standards_other";"fullreq";"num_in_fullreq";"num_out_fullreq";"num_in_out_fullreq";"num_labs_fullreq";"dataprovider";"num_in_dataprovider";"num_out_dataprovider";"num_in_out_dataprovider";"num_labs_dataprovider";"astperform";"num_labo_astperform";"amr_quality_assurance";"eqa_type";"eqa_pathogens";"num_labo_ast_18";"astperform18";"num_labo_eqa_bact";"num_labo_eqa_ast";"num_labo_eqa_ast_18";"num_pat_year_h";"num_pat_year_o";"amr_standards";"description"
"Georgia1";"EUR";"GEO";"1687";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI|EUCAST";"";"UNK";"";"";"";"";"UNK";"";"";"";"";"";"23";"1";"1";"";"4";"";"4";"";"";"";"";"";"NCDC is successful cooperation with the World Health Organization (WHO)  Recent Key Achievements -	Lugar Center, (International ISO 15189 accredited laboratory in microbiology/AMR) assists the  country with: standardization of laboratory diagnostic for AMR; development of technical guidelines, SOPs, procedures for laboratory methods/procedures; implementation of IQC/EQA program with appropriate technology;  provision of reference services. -	23 microbiological laboratories including Lugar Center (NCDC) are involved in WHO EQA Program.  -	National AMR reference laboratory capacity at Lugar Center has been strengthened in terms of antimicrobial resistance surveillance capability and verified and implemented phenotypic and molecular confirmatory tools of AMR mechanism, including sequencing  Carbapenem-resistant Enterobacteriaceae (CRE) isolates are screen for the presence of KPC, VIM, IMP, NDM, MOX/CMY and OXA48 using PCR (research capacity) AMR isolates are screen for the presence of KPC, NDM, OXA48, mcr1, mcr2 using qPCR (diagnostic capacity) Whole Genome Sequence analysis are conducted on Illumina Miseq platform for CRE isolates. -	The national AMR committee was created, where epidemiologists, veterinarians, infection disease, public health and environmental experts are working together; -	Infection prevention and control (IPC) legislation were updated -	Developed a new guidelines ?Infection prevention and control? and ?Infection prevention and control in dental clinics?  -	Developed and implemented a national plan for IPC monitoring and evaluation in health care settings -	Developed and conducted training programs of IPC modules for medical personnel -	Point Prevalence Survey (PPS) of Antimicrobial Consumption and Resistance was conducted according to the Global-PPS protocol in intensive care units of 10 multi-profile hospitals. -	The Sanford Guide to Antimicrobial Therapy (2018) has been translated and published -	Information on antibiotics (for humans) exported in Georgia is collected ? Antimicrobial Medicines Consumption network   "
"root";"AFR";"GHA";"1688";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"GIN";"1689";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"AFR";"GMB";"1690";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"UNK";"";"";"";"";"UNK";"";"";"";"";"UNK";"";"0";"";"";"";"UNK";"";"";"UNK";"";"";"";""
"root";"AFR";"GNB";"1691";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AFR";"GNQ";"1692";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Greece1";"EUR";"GRC";"1693";"2020";"1";"";"";"";"";"";"1";"";"0";"";"";"2";"CLSI|EUCAST";"";"";"56";"0";"0";"56";"";"36";"0";"0";"36";"";"56";"1";"1";"";"36";"";"36";"";"";"";"";"";""
"root";"AMR";"GRD";"1694";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"GTM";"1695";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"GUY";"1696";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"HND";"1697";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Croatia2";"EUR";"HRV";"1698";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"13";"8";"16";"35";"";"13";"8";"16";"35";"";"35";"1";"1";"";"35";"";"35";"";"";"";"";"";"Croatia established the Croatian Committee for Antibiotic Resistance Surveillance (CCARS) in 1996 and today the network gathers 35 microbiological laboratories and thus covers > 90% of Croatian population. The CCARS closely collaborates with the Reference Center for Antibiotic Resistance Surveillance that provides laboratory support for retesting alert organisms and conducting EQA. Croatia participates in EARSS/EARS-Net since 1999 and in GLASS since 2018. At the moment we collect data on isolates from blood, stool and genital specimens."
"root";"AMR";"HTI";"1699";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"HUN";"1700";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Indonesia1";"SEA";"IDN";"1701";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"20";"0";"0";"0";"";"16";"0";"0";"0";"";"0";"1";"1";"";"0";"";"0";"";"";"";"";"";"The Global Antimicrobial Resistance Surveillance System (GLASS) was launched in 2015 with the goal of strengthening evidence on AMR to facilitate informed decision making and drive impactful interventions nationally, regionally and globally. 2019 marked the milestone where Indonesia successfully enrolled in GLASS. WHO facilitated the establishment of national AMR surveillance platform including National Coordination Center, National reference Laboratory and Sentinel Sites and mechanism; and supported capacity building of the national team on AMR surveillance system (GLASS) in Surabaya. Indonesia successfully participated and contributed AMR data to GLASS secretariat. MoH decided to include in total 11 hospitals as AMR surveillance sentinel sites and will be added to become 20 hospitals on this year; 2 national reference laboratories (BBLK Jakarta and BBLK Surabaya) and a National Coordinating Center (NIHRD). Due to COvid-19 situation, only 16 surveillance sites could be submitted AMR data to NCC completely Monitoring implementation of AMR surveillance will be conducted in 2021. Indonesia also completed the first phase of the Global Integrated Survey on ESBL producing E.coli-Tricycle Project which aimed to strengthen the antimicrobial resistance (AMR) surveillance system and promote integrated surveillance across human, animal and environment sectors using the One Health approach.  The project showed a substantial burden of ESBL E.coli in human, animal and environment from samples collected and is the first integrated AMR surveillance with One Health approach initiative in Indonesia.The final draft NAP is still in progress to be endorsed by the Minister of Health and other ministries. This task is delayed due to the pandemic situation that made ministries are still focused to COVID-19 response. However, the implementation on the planned activities has been carried out by ministries and stakeholders."
"India2";"SEA";"IND";"1702";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"0";"CLSI";"";"";"69";"2";"71";"0";"";"57";"2";"59";"0";"";"71";"1";"1";"";"59";"";"59";"";"";"";"";"";"National Center for Disease Control (NCDC) is the national coordinating center for AMR surveillance in India and is coordinating National programme on AMR Containment. Under this programme, National AMR surveillance network has been established during 2014-15. Network began with 10 sites and has been gradually expanded to 29 sites in 24 states. India has two other AMR surveillance networks : one being coordinated by ICMR (Indian Council of Medical Research) and the other is GASP. Apart from submitting the data from the National AMR surveillance, NCDC coordinates with the other two AMR surveillance networks in India and submits their data to GLASS "
"Ireland1";"EUR";"IRL";"1703";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"60";"0";"0";"38";"";"60";"0";"0";"38";"";"38";"0";"";"";"38";"";"";"";"UNK";"";"";"";"100% participation in EARS-Net surveillance in Ireland and consistently >95% since 2007. Ireland's EARS-Net data is reported to ECDC and in turn shared with WHO GLASS Surveillance of newly confirmed CPE colonisation or infection has been evolving in Ireland since 2011, with transition from voluntary to mandatory to statutorily notifiable since December 2018. "
"Iran2";"EMR";"IRN";"1704";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"8";"0";"8";"8";"";"8";"0";"8";"8";"";"8";"1";"1";"";"8";"";"8";"";"";"";"";"";"Iran has developed its National Action Plan on AMR with promotion and development of AMR surveillance included in the NAP. Iran has been enrolled in GLASS since May 2016.The priority Bug -drug combinations are determined according to GLASS recommendations and national needs.Eight surveillance sites currently collect the necessary data and the number is going to be increased in a stepwise manner. "
"Iraq1";"EMR";"IRQ";"1705";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"0";"CLSI";"";"";"26";"2";"14";"26";"";"26";"2";"14";"16";"";"26";"0";"1";"";"24";"";"";"";"UNK";"";"";"";"AMR"
"root";"EUR";"ISL";"1706";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"ISR";"1707";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"subissi.l";"EUR";"ITA";"1708";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"288";"0";"0";"0";"";"288";"0";"0";"0";"";"130";"0";"";"";"130";"";"120";"";"";"";"";"";"The National Antibiotic Resistance Surveillance System (AR-ISS)  has been running since 2001 under the coordination of Istituto Superiore di Sanità (ISS) and has enrolled hospital microbiology laboratories  over the country to provide AST data following the EARS-Net (previously EARSS) protocols. AST results regarding 8 bacterial pathogens obtained from blood or CSF are collected yearly and analysed at ISS, and then transmitted to ECDC. Every year the laboratories participate to an EQA program, distributed by ECDC. Ad-hoc microbiology studies on pathogens of special relevance for the country (e.g. Staphylococcus aureus, Klebsiella pneumoniae) are organized with the collection of isolates from the laboratories. In the framework of the Italian National Plan to contrast AMR (PNCAR) AR-ISS has been implemented to obtain a better representatively of the country with the active involvement of all the Italian Regions and Autonomous Provinces that are responsible for planning and managing the health system at the local level. In 2019 AR-ISS included all the Italian Regions and Autonomous Provinces with the participation of 130 hospital laboratories and the inclusions of Regional AMR networks, where present. The hospitals served by the 130 laboratories covered approximately 41% of the hospital patient-days."
"root";"AMR";"JAM";"1709";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Jordan1";"EMR";"JOR";"1710";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"0";"0";"15";"0";"";"0";"0";"15";"0";"";"15";"1";"1";"";"15";"";"15";"";"";"";"";"";""
"subissi.l";"WPR";"JPN";"1711";"2020";"2";"";"";"";"";"";"1";"";"1";"";"";"0";"CLSI";"";"";"2121";"0";"0";"0";"";"2075";"0";"0";"0";"";"2121";"0";"2";"";"0";"";"0";"";"";"";"";"";"Current country AMR surveillance in Japan comprises two systems:  AMR surveillance in National Epidemiological Surveillance of Infectious Diseases (NESID) and Japan Nosocomial Infections Surveillance (JANIS).   NESID AMR surveillance consists of pathogen reporting (laboratory-based surveillance) and patient reporting. The information is based on reporting from physicians. The system is pursuant to Articles 12 through 16 of the Act on the Prevention of Infectious Diseases, and Medical Care for Patients with Infectious Diseases in effect since April 1, 1999. Notifiable infectious diseases in NESID AMR surveillance are carbapenem-resistant Enterobacteraceae infection, vancomycin-resistant Staphylococcus aureus infection, vancomycin-resistant enterococcal infection, multidrug-resistant Acinetobacter infection all of which belong to category V infectious diseases and diseases to be reported by designated sentinel sites are methicillin-resistant Staphylococcus aureus infection and multidrug-resistant Pseudomonas aeruginosa infection. JANIS collects comprehensive specimen-based data (i.e., both culture-positive and -negative data of all sample types) from diagnostic microbiology laboratories of participating hospitals to monitor the isolation rate of 11 major bacteria and specific AMR bacteria and creating antibiograms of approximately 20 bacterial species.  The comprehensive data collection scheme enabled JANIS to determine the total number of patients from whom the specimens were collected.  The data are regularly uploaded from hospitals through a web interface to a secure cloud system, according to a specific data format for each sample. Automatic data preparation functions have been developed and installed in automated microbiology systems such as MicroScan or Vitek or within the laboratory information systems used in the participating hospitals and commercial clinical laboratories. The uploaded data were stored in a database and processed in the JANIS server-side tabulation program. After automatic data check and de-duplication, Resistant-Intermediate-Susceptible (R-I-S) interpretation of the quantitative susceptibility test data was conducted using the 2012 version of CLSI breakpoints, enabling direct comparison of resistance rates among participating hospitals and monitoring the longitudinal trend of AMR. The JANIS server-side program then creates annual national reports. In addition, the JANIS server-side program also creates individual facility feedback reports, which are returned to each participating hospital and readily highlight the facility-specific isolation and resistance rates of specific AMR bacteria for each hospital compared to the national distribution of the previous year.  "
"root";"EUR";"KAZ";"1712";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kenya1";"AFR";"KEN";"1713";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"5";"5";"5";"5";"";"0";"0";"0";"0";"";"5";"1";"1";"";"0";"";"0";"";"";"";"";"";"We have 5 human health laboratories submitting data to the national database and we are in the process of cleaning and preparing AMR reports for the next data call. We are preparing more human health labs and we expect to start receiving data from the 8 sites by December 2020.  We are also preparing 6 animal health labs which we expect to start receiving their data by February next year"
"root";"EUR";"KGZ";"1714";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vanra.ieng";"WPR";"KHM";"1715";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"8";"0";"0";"0";"";"8";"0";"0";"0";"";"8";"1";"1";"";"8";"";"8";"";"";"";"";"";"The Cambodian Ministry of Health endorsed and launched the Laboratory-Based Antimicrobial Sentinel Surveillance Standard Operation Procedure (SOP) in November 2017. The implementation of the SOP started in January 2018 in eight sentinel sites: three sites in the capital Phnom Penh and five in four other provinces (see map below).  Those sentinel sites are classified into Tier 1 (HOPE Centre, Angkor Hospital for Children, Takeo Provincial Hospital and Battambang Provincial Hospital) and Tier 2 (National Pediatric Hospital, Calmette Hospital, Kampong Cham Provincial Hospital, and Siem Reap Provincial Hospital). AMR Surveillance Sentinel Sites in Cambodia (N=8) collects data and report monthly; 5 sites directly enter data into the laboratory information system (CamLIS) and extract to the AMR web-based reporting system. The remaining 3 sites complete an excel database, which is then sent the national AMR surveillance secretariat to be uploaded to AMR web-based reporting.  5 sentinel sites sent isolates to NRL for confirmatory testing including for identification and AST. NRL provides feedback on the discrepancy results to the AMR sentinel sites.  There is a monthly meeting for the AMR Technical Working Group to discuss progress and challenges with partners, the animal health sector, and environment colleagues. The national AMR surveillance team conducts quarterly supervision to each site using a standard checklist to strengthen microbiology, AMR reporting, infection prevention and control, and rational use of antibiotics.  The annual AMR surveillance review workshops were conducted to review the progress and challenges of implementing surveillance and the development of local action plans to strengthen surveillance.  One of the priorities for 2021 is to regularly analyze the surveillance data and produce a quarterly AMR surveillance bulletin and to enhance the use AMR data for improving infection control and rational use of antibiotics in the hospitals."
"root";"WPR";"KIR";"1716";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"KNA";"1717";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Korea2";"WPR";"KOR";"1718";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI|EUCAST";"";"";"8";"0";"0";"0";"";"8";"0";"0";"0";"";"5";"1";"1";"";"5";"";"5";"";"";"";"";"";"Depenging on the domestic situation, it is adding pathogens and examining resistant genes or virulence genes."
"root";"EMR";"KWT";"1719";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Lao1";"WPR";"LAO";"1720";"2020";"1";"Department of Communicable Disease Control, Ministry of Health";"Ban Thatkhao, Sisattanak District, Simeuang Road, Vientiane capital";"1";"Dr. Bouakham";"Vannachone";"1";"";"1";"National Center for Laboratory and Epidemiology";"Thadeua Road, Km3, Thaphalanxay Village, Sisattanak District, Vientiane Capital";"1";"EUCAST|CLSI";"";"";"3";"0";"3";"3";"";"3";"0";"0";"0";"";"3";"1";"1";"2";"3";"";"3";"3";"";"";"";"";"In 2020, Lao PDR has been expanding its national AMR surveillance system. In addition to the NCC, NRL and 3 surveillance sites (1 existing, 2 new) established in 2019, 4 further surveillance site were established in 2020. This is being guided by the Surveillance Strategy for an AMR Surveillance System in Lao PDR and related protocols, which were endorsed and disseminated in March 2020. NCLE and each surveillance site are receiving ongoing training and capacity building, as well as regular monitoring and evaluation. Monitoring of antimicrobial consumption (AMC) occurs at the national level, with country data compiled for 2018 and 2019. This is ready to be shared on the GLASS platform when the module becomes available. Hospital level AMC monitoring has started in 2020 in 3 sites which are also AMR surveillance sites. "
"subissi.l";"EMR";"LBN";"1721";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI|EUCAST";"";"";"10";"0";"10";"10";"";"8";"0";"8";"10";"";"10";"1";"1";"";"8";"";"8";"";"";"";"";"";"The global emergence of antimicrobial resistance (AMR) is posing a threat to human health.  AMR Surveillance is a systematic, ongoing data collection, analysis and reporting process that monitors temporal trends in the occurrence and distribution of susceptibility and resistance to antimicrobial agents, and provides information useful as a guide to medical practice, including therapeutics and disease control activities. Putting resources into the containment of AMR ? including surveillance ? is one of the highest-yield investments that should be made to mitigate its impact.  In Lebanon, the main activities that are achieved  related  to AMR surveillance: 1- Ensure sustainability of AMR data Reporting to GLASS: laboratories that provided microbiologically reliable and epidemiologically representative data to be uploaded to GLASS platform were: -  Two laboratories in 2017, -  Four laboratories in 2018, -  Eight laboratories in 2019. 2-Whonet training done for 32 hospitals both in human and animal sectors 3- AMR Proficiency Testing activities were achieved for: - 32 labs (2015-2016) - 80 labs (2019) "
"root";"AFR";"LBR";"1722";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Libya1";"EMR";"LBY";"1723";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"1";"0";"0";"10";"";"1";"0";"0";"0";"";"0";"0";"";"";"1";"";"0";"";"";"";"";"";"Because of the civil war that toke hold of the country during the last few years and the deteriorating of the health services, most of the selected surveillance sites were not able to function and start collecting data. With one exception of the Tripoli University Hospital, which despite its  location in a war zone  and the shutdown many times and the loss of the data was able to salvage the log books and re-enter most of the 2019 data into system."
"root";"AMR";"LCA";"1724";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SriLanka1";"SEA";"LKA";"1725";"2020";"2";"";"";"";"";"";"1";"";"1";"";"";"1";"CLSI";"";"";"18";"0";"0";"0";"";"18";"0";"0";"0";"";"18";"0";"";"";"18";"";"18";"";"";"";"";"";"Surveillance on antimicrobial resistance has been carried out since 2009 in Sri Lanka, at a limited number of hospital laboratories. The programme was further strengthened and upgraded in 2018 to include 25 hospital laboratories covering all parts of the country. Establishment of the National Surveillance System for Antimicrobial resistance in Sri Lanka was commenced in August 2017, by the Ministry of Health through the National Advisory Committee on Antimicrobial Resistance and supported by the WHO country office. Each sector will develop their own surveillance system and finally come together under one health approach.  The National Protocol for Antimicrobial resistance Surveillance for human health sector was developed in 2018 and data collection initiated by June 2018. The surveillance system functions under the supervision and authority of the National focal point for antimicrobial resistance, the Deputy Director General for Laboratory Services. The National Coordinating Center for the surveillance system is formed and the National Reference Laboratory for the system is also identified. Twenty five (25) state sector hospital laboratories that cover the whole island are identified as sentinel sites.  Data pertaining to antimicrobial resistance are collected from these hospital laboratories monthly, using the ?WHONET? software. Data is analyzed quarterly and a committee for data analysis and interpretation is established consisting of Health Administrators, Microbiologists and Epidemiologists and Medical officers having qualifications in Bio informatics. Sri Lanka became a member of the GLASS in 2018 and participated for the data call in 2019 for the first time.  Following the ?One Health? approach, the animal  sector is also to develop their own antimicrobial resistance surveillance system.   Priority specimens This survey covers following specimen types.  ?	Blood ?	Urine ?	Faeces/Stool ?	Urethral  ?	Cervical swabs   Priority pathogens This survey monitors the following pathogens only. ?	Escherichia coli ?	Klebsiella pneumoniae ?	Acinetobacter baumannii ?	Staphylococcus aureus ?	Streptococcus pneumoniae ?	Pseudomonas aeruginosa ?	Salmonella spp. ?	Shigella spp. ?	Neisseria gonorrhoeae   Data aggregation During the data collection for year 2019 out of the identified sentinel sites, the below list of hospitals have submitted data to the Surveillance system.  1.	Lady Ridge way hospital  / Colombo 2.	Medical Research Institute/ Colombo 3.	Sri Jayawardhanapura  General Hospital/ Jayawardenapura 4.	District General  Hospital / Matara 5.	District General hospital  / Polonnaruwa 6.	Provincial General hospital   / Badulla 7.	Colombo North Teaching Hospital / Ragama (NCTH) 8.	 District General  Hospital / Chilaw 9.	Apeksha hospital (National Cancer institute), Maharagama  10.	District General hospital, Ampara 11.	Teaching Hospital /Anuradhapura 12.	Teaching Hospital / Kandy 13.	Teaching Hospital / Peradeniya 14.	Teaching Hospital / Kurunegala 15.	Teaching hospital, Batticaloa  16.	Teaching hospital, Monaragala 17.	Provincial General hospital, Ratanapura  18.	Teaching hospital, Kegalle    Best Practices and way forward ?	Capacity building programmes on using WHONET for data collection, aggregation and basic analysis, were conducted for all sentinel site staff involved in human health sector and for selected staff of animal health sector in 2018 ?	Laptops were distributed to all sentinel sites of human health sector to conduct the data collection at each of these sites in 2018 ?	On site monitoring and evaluation of the surveillance sites was conducted in 2019 present where each of these 25 sites were visited by the staff of National coordinating Center and   capacity building and data collection activities were also carried. ?	More focus will be put into data analysis, interpretation dissemination of results in 2020.  "
"root";"AFR";"LSO";"1726";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Lithuania1";"EUR";"LTU";"1727";"2020";"2";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"20";"0";"20";"20";"";"10";"15";"10";"15";"";"20";"1";"1";"";"1";"";"1";"";"";"";"";"";""
"subissi.l";"EUR";"LUX";"1728";"2020";"0";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"4";"0";"4";"0";"";"4";"0";"4";"0";"";"8";"1";"1";"";"8";"";"8";"";"";"";"";"";"Dans le cadre du plan, une plateforme de centralisation des données relatives à l?antibiorésistance provenant du secteur humain et vétérinaire sera mise en place sous la responsabilité du LNS (Laboratoire national de santé). Les principales activités liées à la mise en place de cette plateforme seront de centraliser l?ensemble des données de résistances en santé humaine et animale au Luxembourg, d?analyser et d?interpréter les données au niveau national et de réaliser un suivi épidémiologique de la situation nationale face à l?antibiorésistance. L?ensemble de ces activités a pour objectif d?améliorer les connaissances sur l?antibiorésistance au Luxembourg et d?identifier les actions à mettre en place afin de lutter contre l?émergence de résistances nouvelles. »"
"Latvia1";"EUR";"LVA";"1729";"2020";"0";"";"";"";"";"";"1";"";"0";"";"";"1";"EUCAST";"";"";"12";"0";"3";"12";"";"0";"0";"1";"1";"";"12";"0";"1";"";"";"UNK";"12";"";"";"";"";"";"It is not clear to me whether this questionaire includes EARS-NET that is also transferred to GLASS. In that case 12 laboratories are included, but data from urine are only provided by one hospital and one outpatient clinic."
"root";"EMR";"MAR";"1730";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"MCO";"1731";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"EUR";"MDA";"1732";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Madagascar2";"AFR";"MDG";"1733";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST|CLSI";"";"";"9";"0";"9";"9";"UNK";"";"";"9";"9";"";"9";"0";"2";"";"9";"";"9";"";"";"";"";"";"For the 8 public health laboratories, data GLASS submission is only for laboratories that have participated in EQA and have capacity building under the support of private partener . The one NRL have international certificate for EQA : Accreditation NF EN ISO 15189 par la comité Francaise d'accréditation COFRAC"
"root";"SEA";"MDV";"1734";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"AMR";"MEX";"1735";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"root";"WPR";"MHL";"1736";"2020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mali1";"AFR";"MLI";"1737";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"0";"0";"5";"0";"";"0";"0";"5";"0";"";"5";"1";"1";"";"5";"";"5";"";"";"";"";"";"-	STRUCTURE OF AMR SURVEILLANCE IN MALI: -	a coordination structure for AMR surveillance in Mali which is the INSP (National Institute of Public Health) which collaborates with the Directorate of Pharmacy and Drugs (DPM)  and other services. -	 a focal point to monitor the project in collaboration with WHO (Dr Guindo, laboratory manager at INSP) with access to GLASS SYSTEM -	1 national reference laboratory identified (INSP) -	05 identified and functional surveillance sites for a pilot phase (02 in Bamako and 03 in the regions). -	Terms of reference of the integrated AMR surveillance technical group (Group 2) for a ?One Health? approach available. -	Availability of WHONET software for the management and sharing of resistance data to the lab. "
"subissi.l";"EUR";"MLT";"1738";"2020";"1";"";"";"";"";"";"1";"";"1";"";"";"1";"EUCAST";"";"";"4";"10";"0";"0";"";"4";"10";"0";"0";"";"1";"0";"1";"";"1";"";"1";"";"";"";"";"";"The microbiology laboratory at Mater Dei Hospital provides diagnostic services to all publically provided primary, secondary and tertiary care. It is estimated that this covers more than 95% of inpatient care. There is no national AMR surveillance in Malta but data from with bacteraemia in the country. The country has been a participant in EARS-NET (and previously EARSS) since 1999 and has been enrolled in GLASS since July 2017. Malta has published a comprehensive National AMR Strategy and Action Plan which is accessible on the website of the National Antibiotic Committee (www.nac.gov.mt)."
